One Address,0xAddress,StakedWei,StakedONE
one1920vfl67pucex2pfw059pylsfr8hpleal925pc,0x2a9ec4fF5e0f3193282973E85093f048CF70Ff3D,4962712843502066668000000,"4,962,713"
one1mxjrugqety8t6v23m3et0j4zfussf4v8ktycur,0xD9a43e2019590eBD3151Dc72B7cAA24f2104d587,117497892457606541874634422,"117,497,892"
one15hs9d9kdnsd5jxjmu507wljcmmdfe390akxe3d,0xa5e05696CD9c1B491a5BE51fe77E58DedA9cC4Af,5879218766810980001000000,"5,879,219"
one1kfngqk6c2fnwjt9yyne6pqqeux0su3uzq0y5uw,0xB266805B585266E92CA424F3a08019E19f0E4782,5117761399851522923750000,"5,117,761"
one1ktksx4t8t6grdllrf8vv78pj8pc6fwggvjhqzq,0xB2ED0355675e9036FFe349d8Cf1C323871a4B908,5570364346984100000000000,"5,570,364"
one1hukwz92wuymvls8hrk4fhwclk0cer5r2f03mu4,0xbF2ce1154ee136cfC0f71Daa9bBb1Fb3f191d06a,5451055018524400000000000,"5,451,055"
one1djdj7g588xs4605laaxjxfrk0kuler2s6uasw6,0x6c9B2f228739A15D3e9FEf4d2324767dB9fC8d50,5082157520357500004000000,"5,082,158"
one14gq8ptec7dynfxyv8elejnsqxjle44kyvk780r,0xAa0070af38F34934988C3E7f994E0034bf9Ad6C4,10000000000000000000000,"10,000"
one1dd3rjz4ew4m9k2pf285gyfesjwe03a7am6axll,0x6B62390AB975765b282951e882273093b2f8F7dD,10000000000000000000000,"10,000"
one1ypmrh75zsqpav6q0hhpgm3p46jykkaclhp0ydl,0x20763BfA828003d6680FbdC28DC435d4896B771F,10000000000000000000000,"10,000"
one15zmw8ea9mjru57t2qr5dr6jkxd9u9rg4q6m5j9,0xa0B6E3E7A5dC87ca796a00e8d1eA56334bC28D15,10001000000000000000000,"10,001"
one1qt2j27luygxt8qea95kx8wqst8cmf9f88f9dmv,0x02d5257bfc220cB3833d2D2C63B81059f1B49527,10088000000000000000000,"10,088"
one1xrksyam05h78f47l70rtjsk5njy8u9f0ty995h,0x30Ed02776fA5Fc74D7DFF3c6b942D49C887E152F,4924144989822781250000000,"4,924,145"
one12rjhtpwaclyms73lw3qjchs4httvr5nhxfc42l,0x50E57585DDC7C9b87A3F74412C5e15BAd6C1D277,10000000000000000000000,"10,000"
one1x2x8mhelj76dmswdps0f7xatap8z6wuyxadyxj,0x328C7dDF3F97B4dDc1cD0C1e9F1BabE84e2D3b84,10497720000000000000000,"10,498"
one1wftqeamdxuqqaycjuwvcz3tsramz8z5ettg3qr,0x72560Cf76d37000E9312e3998145701f76238A99,10000000000000000000000,"10,000"
one1t3tex27l80cs4eltq5t7wymcxwwct6xxuyf7w4,0x5c57932Bdf3bf10AE7Eb0517e71378339D85e8C6,60892834786505663076808479,"60,892,835"
one1yfscyp6cf5wpapy6mfwtvs840r3hqnac4ymvxp,0x22618207584D1C1E849Ada5cB640F578E3704FB8,10001000000000000000000,"10,001"
one19py40wf5tu7pu2zdfy82y7nter86lk8h0pj906,0x284957B9345f3C1e284D490eA27a6Bc8CFafD8f7,10000000000000000000000,"10,000"
one16peqd9vlkakn3vdejr8djrc4e8kjh4kt5ta2mu,0xD07206959Fb76d38b1B990CED90f15c9Ed2Bd6Cb,10238971803000000000000,"10,239"
one1y9tekahx8jmmm4sat5hr56mfqmlne65z0whsx0,0x21579b76e63CB7bdD61d5D2e3A6b6906Ff3CEa82,10001000000000000000000,"10,001"
one1qfpt5y3kuw8dnsd2d4lgjjzf849mfdzaxzum88,0x0242BA1236e38eD9C1AA6d7e8948493d4bb4b45d,59543947426231640489036852,"59,543,947"
one1pygejp5kpe4llft4u90mvv9y0r27y84sdp4p9z,0x09119906960e6Bffa575E15Fb630a478d5e21eB0,951666520286673197790000,"951,667"
one1p2rmvndevvw682qynqu08hyvx24hh4runsw6pz,0x0A87b64dB9631Da3a8049838f3DC8C32Ab7bd47c,156419281246452628373648944,"156,419,281"
one1zfnpdlr4v5hytm3gkm3z7a5d3c7sr69qg6aj4m,0x126616fc75652E45EE28B6E22f768D8E3D01e8A0,5302024870388666667500000,"5,302,025"
one1t95hnx0yg2jpnc6xj2lzltgrnzac6nzce6nerj,0x59697999E442a419E34692Be2fAD0398BB8d4C58,5536711592289686666500000,"5,536,712"
